Topography,Construction Type,Amount of Land (sqft),Land Price per sqft,Number of Floors,Architectural Style,Quality Level of Raw Materials,Furnished,Luxury Level,Building Area (sqft),Construction Cost per sqft,Raw Materials Cost per sqft,Flooring Cost per sqft,Ceiling Cost per sqft,Plumbing Cost per sqft,Wiring Cost per sqft,Price
suburban,commercial,10456,1451,4,contemporary,medium,Furnished,luxury,9932,1524,1448,577,72,201,157,87655176
suburban,residential,4167,2198,1,modern,high,Furnished,basic,3958,1574,1218,342,92,151,100,20584161
rural,residential,3472,606,5,contemporary,medium,Non-Furnished,luxury,3295,1762,1337,459,187,245,190,21707483
metropolitan,residential,1360,21865,5,traditional,low,Non-Furnished,standard,1290,1563,1002,366,123,234,165,29224257
urban,commercial,11860,7643,18,contemporary,medium,Furnished,luxury,11250,1567,1255,327,166,209,122,236094212
urban,commercial,6246,5070,21,modern,high,Non-Furnished,basic,5922,1603,1438,525,135,207,140,128306497
metropolitan,commercial,6002,35643,6,contemporary,high,Non-Furnished,basic,5700,1702,1036,528,178,231,181,273291612
metropolitan,residential,6392,42594,1,traditional,medium,Non-Furnished,basic,6072,1632,1488,302,78,230,140,239565185
metropolitan,commercial,3360,40052,25,contemporary,low,Non-Furnished,basic,3175,1532,1130,485,63,175,189,162945340
metropolitan,commercial,11394,33225,6,traditional,high,Furnished,basic,10824,1795,1472,315,63,264,117,479009418
metropolitan,commercial,10237,28189,18,traditional,high,Furnished,basic,9720,1660,1224,489,80,261,174,443832132
metropolitan,residential,5952,20065,2,traditional,low,Furnished,standard,5654,1633,1247,545,115,186,114,117274978
suburban,residential,6379,1724,3,traditional,low,Non-Furnished,luxury,6060,1506,1467,365,115,225,136,34333824
rural,residential,3223,782,1,contemporary,medium,Non-Furnished,standard,3061,1632,1380,574,56,295,118,13439466
rural,commercial,6319,616,27,modern,high,Furnished,luxury,5994,1715,1297,384,154,282,191,117276575
urban,residential,9753,9451,5,traditional,high,Furnished,luxury,9265,1748,1263,544,156,188,103,163455697
urban,residential,3262,16595,2,contemporary,medium,Furnished,standard,3098,1650,1385,484,107,199,179,61310337
rural,commercial,7322,892,25,traditional,high,Non-Furnished,basic,6950,1525,1207,552,128,158,114,135263190
urban,residential,2822,17328,3,modern,high,Furnished,luxury,2679,1728,1066,584,132,224,146,68127882
suburban,residential,6324,3369,5,contemporary,medium,Non-Furnished,standard,6005,1778,1203,523,143,255,150,52380248
urban,residential,4183,9091,3,traditional,high,Non-Furnished,luxury,3972,1679,1163,527,128,207,147,62628729
metropolitan,residential,1610,23871,4,modern,medium,Furnished,standard,1528,1597,1188,519,51,273,153,42002245
suburban,residential,1321,2218,3,modern,low,Furnished,luxury,1254,1706,1051,591,96,162,123,8157845
suburban,commercial,9120,3711,19,traditional,medium,Non-Furnished,standard,8664,1765,1440,464,159,281,126,157187896
metropolitan,commercial,5972,48873,26,contemporary,high,Furnished,luxury,5668,1736,1139,569,100,177,107,524897415
rural,commercial,2139,657,23,modern,high,Furnished,standard,2024,1767,1421,485,183,208,124,38262712
rural,commercial,2228,790,23,traditional,medium,Non-Furnished,luxury,2116,1684,1341,521,142,270,190,42096964
urban,residential,6876,8827,1,contemporary,medium,Furnished,basic,6532,1549,1376,529,125,196,104,69882316
urban,commercial,8614,8741,26,traditional,high,Non-Furnished,luxury,8164,1658,1402,411,114,241,180,255399010
rural,residential,3367,428,2,traditional,high,Furnished,basic,3198,1713,1336,328,146,236,185,13551156
urban,residential,6913,17462,2,traditional,low,Non-Furnished,standard,6566,1583,1482,504,81,261,111,121850342
suburban,residential,11031,3331,1,modern,medium,Non-Furnished,luxury,10479,1678,1115,442,149,266,160,75902557
metropolitan,residential,7191,46474,2,traditional,high,Non-Furnished,basic,6830,1737,1178,378,195,246,153,323722114
metropolitan,residential,11022,25605,1,contemporary,medium,Furnished,luxury,10470,1554,1424,591,115,180,105,320844070
suburban,commercial,11071,1596,23,modern,high,Non-Furnished,standard,10511,1755,1089,476,66,263,109,202361423
urban,commercial,8142,18105,19,contemporary,high,Furnished,luxury,7733,1676,1246,567,88,233,162,342996354
suburban,residential,11131,1990,2,traditional,low,Furnished,basic,10574,1782,1324,457,85,262,151,51449065
rural,commercial,1814,355,5,contemporary,low,Non-Furnished,basic,1720,1705,1242,358,180,169,149,8596519
suburban,commercial,6777,4092,19,contemporary,high,Furnished,basic,6422,1665,1394,561,113,285,198,130883071
urban,residential,3284,7506,3,modern,low,Non-Furnished,standard,3117,1596,1311,317,198,296,190,31433765
suburban,commercial,1970,3603,5,modern,high,Non-Furnished,luxury,1870,1782,1259,595,64,220,180,25575843
rural,residential,11768,776,2,modern,low,Furnished,luxury,11178,1751,1337,352,105,186,169,50959761
suburban,residential,9580,2081,4,traditional,low,Furnished,luxury,9100,1795,1207,334,157,296,137,57930137
suburban,residential,10750,4948,1,modern,high,Furnished,luxury,10212,1590,1038,516,97,273,183,100039526
metropolitan,commercial,6748,46200,21,traditional,low,Furnished,luxury,6405,1774,1424,426,119,267,188,428426823
metropolitan,commercial,4284,36860,22,modern,low,Non-Furnished,luxury,4048,1772,1358,450,166,269,139,231932204
metropolitan,commercial,3849,36956,23,modern,medium,Non-Furnished,standard,3634,1775,1116,561,177,297,172,222185264
urban,residential,4218,14493,2,contemporary,low,Furnished,standard,4006,1524,1099,595,141,219,113,63556586
suburban,residential,3816,4577,5,contemporary,medium,Furnished,luxury,3625,1618,1205,392,51,276,160,36322544
metropolitan,residential,9018,33213,1,modern,medium,Non-Furnished,basic,8567,1534,1492,539,167,174,188,271016386
suburban,residential,10108,3467,1,modern,low,Non-Furnished,basic,9602,1712,1488,586,181,210,133,55716781
suburban,residential,4034,1652,2,contemporary,medium,Non-Furnished,standard,3832,1610,1352,445,81,230,191,21013826
urban,commercial,7104,17405,28,contemporary,medium,Furnished,standard,6748,1749,1311,345,112,277,125,234609115
rural,residential,11947,596,2,modern,high,Furnished,standard,11348,1554,1344,347,77,176,184,52950500
suburban,residential,11756,1307,2,traditional,medium,Non-Furnished,basic,11168,1570,1212,478,180,150,145,50556859
rural,commercial,11984,317,7,modern,medium,Furnished,basic,11382,1524,1050,520,83,277,158,80447073
rural,commercial,8938,870,11,traditional,medium,Furnished,standard,8481,1737,1415,342,67,162,118,76585703
metropolitan,residential,9445,31197,5,traditional,low,Furnished,luxury,8970,1676,1266,512,90,188,112,310094193
urban,commercial,6976,10027,30,contemporary,medium,Furnished,standard,6600,1648,1108,523,69,187,181,214321176
urban,commercial,3625,19601,28,traditional,low,Non-Furnished,standard,3416,1545,1050,352,88,229,149,114026315
urban,commercial,8614,16096,7,contemporary,low,Non-Furnished,standard,8183,1750,1376,539,167,248,170,197893590
rural,residential,4522,805,1,traditional,high,Furnished,luxury,4295,1549,1358,315,126,259,181,21853187
suburban,commercial,8979,4995,5,modern,low,Furnished,standard,8530,1731,1324,579,188,295,119,100552295
urban,residential,10634,8918,3,traditional,low,Furnished,basic,10101,1755,1274,311,155,242,192,102866148
rural,commercial,1578,343,7,contemporary,medium,Furnished,standard,1498,1505,1427,383,65,203,175,10710881
rural,residential,7675,760,2,modern,medium,Non-Furnished,luxury,7290,1679,1390,566,192,196,101,39622869
rural,residential,11994,669,5,contemporary,high,Non-Furnished,luxury,11390,1671,1188,333,102,243,193,71525699
metropolitan,residential,7190,33360,2,modern,low,Furnished,luxury,6830,1755,1487,580,194,298,165,245000589
suburban,commercial,7644,4694,9,modern,high,Non-Furnished,luxury,7254,1562,1400,345,119,178,184,110978949
urban,residential,7020,10734,1,modern,medium,Furnished,standard,6669,1623,1272,513,105,167,172,91091929
metropolitan,residential,2718,24063,3,contemporary,low,Non-Furnished,standard,2580,1767,1012,528,107,166,167,63013928
rural,commercial,6037,578,16,traditional,low,Furnished,basic,5728,1654,1449,533,141,174,164,65337775
suburban,residential,5011,3882,4,modern,low,Non-Furnished,standard,4760,1690,1045,380,91,220,145,33920419
metropolitan,commercial,1906,46266,15,traditional,medium,Furnished,basic,1800,1516,1148,369,190,286,171,103201623
rural,commercial,5834,676,6,traditional,low,Furnished,luxury,5538,1776,1228,365,122,207,193,38926995
suburban,commercial,11972,3896,24,contemporary,low,Non-Furnished,basic,11352,1623,1157,333,164,249,195,156663346
metropolitan,residential,6045,28954,1,traditional,low,Non-Furnished,standard,5742,1600,1212,489,126,159,139,159096862
urban,commercial,8463,13658,29,contemporary,high,Furnished,luxury,8033,1505,1442,538,168,204,132,358305638
rural,commercial,3796,291,3,traditional,medium,Furnished,luxury,3606,1684,1320,536,137,192,116,23784895
rural,residential,11264,808,5,modern,high,Non-Furnished,luxury,10700,1742,1264,381,65,196,124,71621908
rural,residential,8139,568,5,traditional,medium,Non-Furnished,standard,7730,1682,1389,459,143,268,173,45554806
rural,commercial,10840,955,25,contemporary,medium,Furnished,luxury,10275,1602,1131,308,75,265,144,148640635
metropolitan,residential,10351,21706,1,modern,medium,Furnished,luxury,9833,1576,1460,599,128,278,145,263846431
rural,commercial,3098,895,2,contemporary,medium,Furnished,basic,2942,1716,1434,478,75,261,142,16318492
metropolitan,residential,2560,44505,4,contemporary,medium,Furnished,standard,2432,1605,1235,593,53,230,189,115054109
metropolitan,residential,3192,42922,3,traditional,low,Furnished,standard,3030,1735,1132,311,88,298,151,121748226
rural,commercial,5025,894,3,contemporary,low,Furnished,standard,4773,1554,1338,525,113,213,199,28298402
suburban,commercial,10432,2882,10,contemporary,medium,Non-Furnished,standard,9910,1756,1349,346,81,258,129,109738259
suburban,commercial,10134,2294,3,modern,high,Non-Furnished,luxury,9627,1609,1091,533,131,207,123,91934718
suburban,residential,9517,1230,2,modern,high,Furnished,luxury,9040,1784,1057,309,68,171,181,51622184
metropolitan,commercial,10660,36890,5,modern,low,Furnished,luxury,10125,1568,1138,539,146,251,104,494041010
suburban,commercial,8979,3125,17,traditional,low,Non-Furnished,standard,8517,1527,1315,529,188,259,189,132932133
urban,residential,3195,12720,5,modern,medium,Furnished,luxury,3035,1523,1025,398,184,242,144,55772011
metropolitan,residential,8104,43014,2,contemporary,high,Non-Furnished,luxury,7698,1559,1353,575,94,270,154,418004259
suburban,residential,6045,1575,2,contemporary,medium,Furnished,basic,5742,1558,1300,503,65,209,147,27996019
suburban,commercial,7701,4924,15,contemporary,low,Furnished,standard,7305,1766,1430,391,63,217,103,106421211
rural,commercial,3121,773,2,modern,low,Furnished,luxury,2964,1657,1248,589,101,155,127,17240582
urban,commercial,6477,16590,1,traditional,medium,Non-Furnished,standard,6153,1750,1339,439,178,236,124,145718680
urban,residential,7983,9447,5,traditional,medium,Non-Furnished,luxury,7580,1501,1116,442,140,182,199,114793707
metropolitan,commercial,5901,22405,4,contemporary,high,Furnished,luxury,5604,1682,1022,535,118,283,174,216840179
rural,residential,6002,509,4,contemporary,high,Furnished,basic,5700,1769,1179,357,56,221,169,27623111
metropolitan,residential,1348,46750,1,contemporary,medium,Furnished,basic,1280,1725,1333,468,188,257,137,55402748
rural,commercial,6164,660,10,modern,medium,Furnished,basic,5850,1603,1328,405,89,300,181,48256872
suburban,commercial,1752,1392,29,modern,medium,Furnished,luxury,1653,1621,1344,311,53,276,127,27910982
rural,commercial,11637,427,21,contemporary,low,Furnished,luxury,11046,1709,1036,356,94,214,125,134543671
urban,commercial,9400,18425,29,modern,medium,Non-Furnished,basic,8903,1542,1313,359,99,278,161,293131091
urban,commercial,1405,19143,8,modern,medium,Non-Furnished,standard,1328,1642,1434,419,53,184,153,39545240
rural,commercial,3706,449,15,traditional,high,Non-Furnished,standard,3510,1699,1014,328,85,185,133,36143127
metropolitan,commercial,6529,24375,7,traditional,medium,Furnished,basic,6202,1730,1067,342,63,227,196,192780864
metropolitan,commercial,2840,38194,27,traditional,high,Furnished,luxury,2673,1582,1214,571,66,184,119,210615832
rural,residential,5906,918,5,traditional,high,Furnished,basic,5610,1657,1120,503,131,258,154,34326549
suburban,commercial,8809,2358,6,modern,high,Non-Furnished,basic,8364,1552,1228,379,92,255,151,73190110
metropolitan,commercial,5359,47345,13,modern,low,Furnished,standard,5083,1792,1115,391,153,199,118,294192911
urban,residential,10489,11266,4,contemporary,medium,Furnished,basic,9964,1649,1273,470,90,270,177,139505141
suburban,residential,2860,3158,2,traditional,medium,Furnished,basic,2716,1742,1333,419,57,295,187,17271290
metropolitan,residential,7364,48952,1,traditional,medium,Non-Furnished,standard,6995,1792,1420,536,146,196,102,350825011
metropolitan,commercial,9942,29784,7,modern,high,Furnished,luxury,9443,1663,1017,585,154,202,146,485921170
rural,commercial,4492,921,6,modern,high,Furnished,standard,4266,1601,1440,358,125,215,154,34855143
metropolitan,commercial,8109,47125,28,modern,low,Furnished,standard,7700,1769,1448,419,70,261,148,496411637
urban,commercial,10624,9063,17,modern,low,Furnished,luxury,10081,1635,1001,346,91,161,126,203272921
urban,residential,11463,18605,2,modern,medium,Furnished,standard,10888,1503,1294,311,189,298,109,232017019
rural,commercial,2546,526,24,traditional,low,Non-Furnished,basic,2400,1577,1219,406,54,188,179,28909025
urban,residential,6544,17283,2,modern,low,Furnished,standard,6216,1608,1187,369,81,231,129,111777213
suburban,residential,6825,3072,4,modern,high,Furnished,basic,6480,1544,1337,383,137,257,110,47346458
rural,residential,4508,369,1,traditional,medium,Furnished,basic,4282,1643,1086,562,151,300,195,15324317
suburban,residential,3316,4317,3,traditional,high,Non-Furnished,basic,3150,1536,1292,440,53,218,175,25648567
urban,commercial,6768,19190,29,traditional,high,Furnished,luxury,6409,1647,1218,553,102,184,148,338365098
suburban,residential,6932,3141,3,traditional,low,Furnished,luxury,6585,1571,1141,471,167,220,136,47045622
rural,commercial,7495,316,24,contemporary,medium,Furnished,basic,7104,1723,1300,553,56,222,122,120201063
metropolitan,commercial,7040,31557,1,traditional,low,Non-Furnished,basic,6688,1618,1426,493,64,244,160,221811526
suburban,residential,5769,2323,4,modern,high,Furnished,basic,5480,1503,1066,464,114,157,106,35750385
suburban,residential,9432,4542,1,traditional,high,Non-Furnished,basic,8960,1589,1169,566,167,279,124,69257771
metropolitan,residential,11100,20545,5,traditional,low,Furnished,luxury,10545,1620,1293,469,61,282,159,257989106
suburban,residential,3624,2039,3,traditional,medium,Furnished,luxury,3441,1696,1268,440,139,258,167,24152971
urban,commercial,9554,5407,8,modern,medium,Non-Furnished,luxury,9072,1745,1339,451,83,232,123,140773623
urban,commercial,8024,18015,29,modern,medium,Furnished,luxury,7598,1773,1151,310,95,262,110,289490052
urban,commercial,1237,15754,14,contemporary,high,Non-Furnished,luxury,1162,1706,1211,545,175,205,193,43136561
rural,commercial,10142,680,4,modern,high,Non-Furnished,basic,9632,1552,1193,597,179,223,170,67351513
urban,residential,6423,17540,1,modern,high,Non-Furnished,luxury,6101,1605,1326,467,90,260,138,148504648
urban,commercial,11796,11353,7,contemporary,low,Non-Furnished,basic,11200,1723,1023,549,68,229,123,189266921
suburban,commercial,11456,1124,21,modern,medium,Furnished,luxury,10878,1688,1162,541,131,242,130,210196360
rural,residential,6326,464,3,contemporary,high,Furnished,luxury,6009,1782,1360,353,81,189,172,33784516
suburban,commercial,4352,4145,13,modern,high,Furnished,basic,4134,1737,1293,554,154,188,191,68328059
rural,residential,10129,929,1,traditional,medium,Non-Furnished,standard,9622,1527,1105,448,166,193,173,39748054
rural,commercial,9397,708,4,modern,medium,Furnished,basic,8924,1509,1216,507,138,235,104,53291536
rural,commercial,3126,823,4,contemporary,high,Non-Furnished,luxury,2968,1514,1166,487,173,152,145,23563439
rural,residential,3505,661,4,contemporary,medium,Furnished,luxury,3328,1778,1383,434,144,253,135,20275922
rural,commercial,1958,501,4,traditional,high,Furnished,basic,1860,1635,1021,321,147,268,113,10316079
suburban,residential,11026,1091,3,modern,high,Non-Furnished,luxury,10473,1786,1321,376,81,194,195,66760959
